Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
,0:06:27,132,,,,,,,,
,0:06:28,132,,,,,,,,
,0:06:29,133,,,,,,,,
,0:06:30,135,,,,,,,,
,0:06:31,136,,,,,,,,
,0:06:32,137,,,,,,,,
,0:06:33,135,,,,,,,,
,0:06:34,133,,,,,,,,
,0:06:35,130,,,,,,,,
,0:06:36,130,,,,,,,,
,0:06:37,126,,,,,,,,
,0:06:38,125,,,,,,,,
,0:06:39,125,,,,,,,,
,0:06:40,127,,,,,,,,
,0:06:41,131,,,,,,,,
,0:06:42,132,,,,,,,,
,0:06:43,132,,,,,,,,
,0:06:44,132,,,,,,,,
,0:06:45,131,,,,,,,,
,0:06:46,130,,,,,,,,
,0:06:47,128,,,,,,,,
,0:06:48,128,,,,,,,,
,0:06:49,128,,,,,,,,
,0:06:50,128,,,,,,,,
,0:06:51,129,,,,,,,,
,0:06:52,131,,,,,,,,
,0:06:53,132,,,,,,,,
,0:06:54,133,,,,,,,,
,0:06:55,134,,,,,,,,
,0:06:56,135,,,,,,,,
,0:06:57,134,,,,,,,,
,0:06:58,133,,,,,,,,
,0:06:59,133,,,,,,,,
,0:07:00,131,,,,,,,,
,0:07:01,131,,,,,,,,
,0:07:02,131,,,,,,,,
,0:07:03,131,,,,,,,,
,0:07:04,131,,,,,,,,
,0:07:05,132,,,,,,,,
,0:07:06,132,,,,,,,,
,0:07:07,131,,,,,,,,
,0:07:08,131,,,,,,,,
,0:07:09,130,,,,,,,,
,0:07:10,129,,,,,,,,
,0:07:11,129,,,,,,,,
,0:07:12,130,,,,,,,,
,0:07:13,129,,,,,,,,
,0:07:14,129,,,,,,,,
,0:07:15,129,,,,,,,,
,0:07:16,129,,,,,,,,
,0:07:17,130,,,,,,,,
,0:07:18,131,,,,,,,,
,0:07:19,131,,,,,,,,
,0:07:20,131,,,,,,,,
,0:07:21,131,,,,,,,,
,0:07:22,131,,,,,,,,
,0:07:23,131,,,,,,,,
,0:07:24,131,,,,,,,,
,0:07:25,131,,,,,,,,
,0:07:26,130,,,,,,,,
,0:07:27,130,,,,,,,,
,0:07:28,131,,,,,,,,
,0:07:29,131,,,,,,,,
,0:07:30,130,,,,,,,,
,0:07:31,128,,,,,,,,
,0:07:32,128,,,,,,,,
,0:07:33,128,,,,,,,,
,0:07:34,128,,,,,,,,
,0:07:35,127,,,,,,,,
,0:07:36,127,,,,,,,,
,0:07:37,128,,,,,,,,
,0:07:38,129,,,,,,,,
,0:07:39,131,,,,,,,,
,0:07:40,132,,,,,,,,
,0:07:41,132,,,,,,,,
,0:07:42,132,,,,,,,,
,0:07:43,131,,,,,,,,
,0:07:44,132,,,,,,,,
,0:07:45,133,,,,,,,,
,0:07:46,134,,,,,,,,
,0:07:47,135,,,,,,,,
,0:07:48,135,,,,,,,,
,0:07:49,134,,,,,,,,
,0:07:50,133,,,,,,,,
,0:07:51,132,,,,,,,,
,0:07:52,131,,,,,,,,
,0:07:53,130,,,,,,,,
,0:07:54,131,,,,,,,,
,0:07:55,131,,,,,,,,
,0:07:56,133,,,,,,,,
,0:07:57,135,,,,,,,,
,0:07:58,136,,,,,,,,
,0:07:59,136,,,,,,,,
,0:08:00,136,,,,,,,,
,0:08:01,136,,,,,,,,
,0:08:02,136,,,,,,,,
,0:08:03,136,,,,,,,,
,0:08:04,137,,,,,,,,
,0:08:05,137,,,,,,,,
,0:08:06,138,,,,,,,,
,0:08:07,138,,,,,,,,
,0:08:08,136,,,,,,,,
,0:08:09,134,,,,,,,,
,0:08:10,132,,,,,,,,
,0:08:11,130,,,,,,,,
,0:08:12,128,,,,,,,,
,0:08:13,127,,,,,,,,
,0:08:14,127,,,,,,,,
,0:08:15,128,,,,,,,,
,0:08:16,130,,,,,,,,
,0:08:17,130,,,,,,,,
,0:08:18,130,,,,,,,,
,0:08:19,130,,,,,,,,
,0:08:20,131,,,,,,,,
,0:08:21,131,,,,,,,,
,0:08:22,131,,,,,,,,
,0:08:23,132,,,,,,,,
,0:08:24,133,,,,,,,,
,0:08:25,132,,,,,,,,
,0:08:26,131,,,,,,,,
,0:08:27,131,,,,,,,,
,0:08:28,130,,,,,,,,
,0:08:29,129,,,,,,,,
,0:08:30,129,,,,,,,,
,0:08:31,129,,,,,,,,
,0:08:32,130,,,,,,,,
,0:08:33,130,,,,,,,,
,0:08:34,132,,,,,,,,
,0:08:35,132,,,,,,,,
,0:08:36,132,,,,,,,,
,0:08:37,133,,,,,,,,
,0:08:38,133,,,,,,,,
,0:08:39,133,,,,,,,,
,0:08:40,134,,,,,,,,
,0:08:41,134,,,,,,,,
,0:08:42,134,,,,,,,,
,0:08:43,135,,,,,,,,
,0:08:44,135,,,,,,,,
,0:08:45,135,,,,,,,,
,0:08:46,135,,,,,,,,
,0:08:47,135,,,,,,,,
,0:08:48,135,,,,,,,,
,0:08:49,134,,,,,,,,
,0:08:50,134,,,,,,,,
,0:08:51,134,,,,,,,,
,0:08:52,134,,,,,,,,
,0:08:53,136,,,,,,,,
,0:08:54,136,,,,,,,,
,0:08:55,137,,,,,,,,
,0:08:56,138,,,,,,,,
,0:08:57,139,,,,,,,,
,0:08:58,139,,,,,,,,
,0:08:59,139,,,,,,,,
,0:09:00,138,,,,,,,,
,0:09:01,138,,,,,,,,
,0:09:02,138,,,,,,,,
,0:09:03,137,,,,,,,,
,0:09:04,136,,,,,,,,
,0:09:05,136,,,,,,,,
,0:09:06,136,,,,,,,,
,0:09:07,136,,,,,,,,
,0:09:08,136,,,,,,,,
,0:09:09,137,,,,,,,,
,0:09:10,138,,,,,,,,
,0:09:11,138,,,,,,,,
,0:09:12,138,,,,,,,,
,0:09:13,137,,,,,,,,
,0:09:14,137,,,,,,,,
,0:09:15,137,,,,,,,,
,0:09:16,138,,,,,,,,
,0:09:17,139,,,,,,,,
,0:09:18,139,,,,,,,,
,0:09:19,139,,,,,,,,
,0:09:20,139,,,,,,,,
,0:09:21,138,,,,,,,,
,0:09:22,138,,,,,,,,
,0:09:23,138,,,,,,,,
,0:09:24,138,,,,,,,,
,0:09:25,138,,,,,,,,
,0:09:26,138,,,,,,,,
,0:09:27,137,,,,,,,,
,0:09:28,136,,,,,,,,
,0:09:29,136,,,,,,,,
,0:09:30,135,,,,,,,,
,0:09:31,135,,,,,,,,
,0:09:32,134,,,,,,,,
,0:09:33,134,,,,,,,,
,0:09:34,132,,,,,,,,
,0:09:35,132,,,,,,,,
,0:09:36,133,,,,,,,,
,0:09:37,134,,,,,,,,
,0:09:38,134,,,,,,,,
,0:09:39,134,,,,,,,,
,0:09:40,134,,,,,,,,
,0:09:41,134,,,,,,,,
,0:09:42,135,,,,,,,,
,0:09:43,137,,,,,,,,
,0:09:44,139,,,,,,,,
,0:09:45,141,,,,,,,,
,0:09:46,143,,,,,,,,
,0:09:47,144,,,,,,,,
,0:09:48,146,,,,,,,,
,0:09:49,146,,,,,,,,
,0:09:50,147,,,,,,,,
,0:09:51,147,,,,,,,,
,0:09:52,147,,,,,,,,
,0:09:53,147,,,,,,,,
,0:09:54,148,,,,,,,,
,0:09:55,149,,,,,,,,
,0:09:56,149,,,,,,,,
,0:09:57,150,,,,,,,,
,0:09:58,151,,,,,,,,
,0:09:59,152,,,,,,,,
,0:10:00,153,,,,,,,,
,0:10:01,152,,,,,,,,
,0:10:02,153,,,,,,,,
,0:10:03,152,,,,,,,,
,0:10:04,152,,,,,,,,
,0:10:05,153,,,,,,,,
,0:10:06,153,,,,,,,,
,0:10:07,153,,,,,,,,
,0:10:08,154,,,,,,,,
,0:10:09,155,,,,,,,,
,0:10:10,155,,,,,,,,
,0:10:11,155,,,,,,,,
